id,book_th,chapter,verse,bible_th
40009024,มัทธิว,9,24,"พระองค์จึงตรัสกับเขาว่า ""จงถอยออกไปเถิด ด้วยว่าเด็กหญิงคนนี้ยังไม่ตาย เป็นแต่นอนหลับอยู่"" เขาก็พากันหัวเราะเยาะพระองค์"
40009025,มัทธิว,9,25,แต่เมื่อทรงขับฝูงคนออกไปแล้ว พระองค์ได้เสด็จเข้าไปจับมือเด็กหญิง และเด็กหญิงนั้นก็ลุกขึ้น
40009026,มัทธิว,9,26,แล้วกิตติศัพท์นี้ก็ลือไปทั่วแคว้นนั้น
40009027,มัทธิว,9,27,"ครั้นพระเยซูเสด็จไปจากที่นั่น ก็มีชายตาบอดสองคนตามพระองค์มาร้องว่า ""บุตรดาวิดเจ้าข้า ขอเมตตาข้าพระองค์เถิด"""
40009028,มัทธิว,9,28,"และเมื่อพระองค์เสด็จเข้าไปในเรือน ชายตาบอดทั้งสองก็เข้ามาหาพระองค์ พระเยซูตรัสถามเขาว่า ""เจ้าเชื่อหรือว่า เรามีฤทธิ์จะกระทำการนี้ได้"" เขาทูลพระองค์ว่า ""ข้าพระองค์เชื่อ พระเจ้าข้า"""
40009029,มัทธิว,9,29,"แล้วพระองค์ทรงถูกต้องตาเขาตรัสว่า ""ให้เป็นไปตามความเชื่อของเจ้าเถิด"""
40009030,มัทธิว,9,30,"แล้วตาของเขาก็กลับเห็นดี พระเยซูได้ทรงกำชับเขาแข็งแรงว่า ""จงระวังอย่าบอกผู้ใดให้รู้เลย"""
40009031,มัทธิว,9,31,แต่เมื่อเขาไปจากที่นั่นแล้ว ก็เผยแพร่กิตติศัพท์ของพระองค์ทั่วแคว้นนั้น
40009032,มัทธิว,9,32,ขณะเมื่อพระเยซูและเหล่าสาวกกำลังเสด็จออกไปจากที่นั่น ดูเถิด มีผู้พาคนใบ้คนหนึ่งที่มีผีสิงอยู่มาหาพระองค์
40009033,มัทธิว,9,33,"เมื่อทรงขับผีออกแล้วคนใบ้นั้นก็พูดได้ หมู่คนก็อัศจรรย์ใจพูดกันว่า ""ไม่เคยเห็นการกระทำเช่นนี้ในอิสราเอลเลย"""
40009034,มัทธิว,9,34,"แต่พวกฟาริสีกล่าวว่า ""คนนี้ขับผีออกด้วยฤทธิ์ของนายผี"""
40009035,มัทธิว,9,35,พระเยซูจึงเสด็จดำเนินไปตามนครและหมู่บ้านโดยรอบ ทรงสั่งสอนในธรรมศาลาของเขา ประกาศข่าวประเสริฐแห่งอาณาจักรนั้น ทรงรักษาโรคและความป่วยไข้ทุกอย่างของพลเมืองให้หาย
40009036,มัทธิว,9,36,และเมื่อพระองค์ทอดพระเนตรเห็นประชาชนก็ทรงสงสารเขา ด้วยเขาอิดโรยกระจัดกระจายไปดุจฝูงแกะไม่มีผู้เลี้ยง
40009037,มัทธิว,9,37,"แล้วพระองค์ตรัสกับพวกสาวกของพระองค์ว่า ""ข้าวที่ต้องเกี่ยวนั้นมีมากนักหนา แต่คนงานยังน้อยอยู่"
40009038,มัทธิว,9,38,"เหตุฉะนั้น พวกท่านจงอ้อนวอนพระองค์ผู้ทรงเป็นเจ้าของนา ให้ส่งคนงานมาเก็บเกี่ยวพืชผลของพระองค์"""
40010001,มัทธิว,10,1,เมื่อพระองค์ทรงเรียกสาวกสิบสองคนของพระองค์มาแล้ว พระองค์ก็ประทานอำนาจให้เขาขับผีโสโครกออกได้ และให้รักษาโรคและความเจ็บไข้ทุกอย่างให้หายได้
40010002,มัทธิว,10,2,อัครสาวกสิบสองคนนั้นมีชื่อดังนี้ คนแรกชื่อซีโมนที่เรียกว่าเปโตร กับอันดรูว์น้องชายของเขา ยากอบบุตรชายเศเบดี กับยอห์นน้องชายของเขา
40010003,มัทธิว,10,3,ฟีลิปและบารโธโลมิว โธมัสและมัทธิวคนเก็บภาษี ยากอบบุตรชายอัลเฟอัส และเลบเบอัสผู้ที่มีชื่ออีกว่าธัดเดอัส
40010004,มัทธิว,10,4,ซีโมนชาวคานาอันและยูดาสอิสคาริโอทผู้ที่ได้ทรยศพระองค์ไว้นั้น
40010005,มัทธิว,10,5,"สิบสองคนนี้พระเยซูทรงใช้ให้ออกไปและสั่งเขาว่า ""อย่าไปทางที่ไปสู่พวกต่างชาติ และอย่าเข้าไปในเมืองของชาวสะมาเรีย"
40010006,มัทธิว,10,6,แต่ว่าจงไปหาแกะหลงของวงศ์วานอิสราเอลนั้นดีกว่า
40010007,มัทธิว,10,7,จงไปพลางประกาศพลางว่า `อาณาจักรแห่งสวรรค์มาใกล้แล้ว'
40010008,มัทธิว,10,8,จงรักษาคนเจ็บป่วยให้หาย คนโรคเรื้อนให้หายสะอาด คนตายแล้วให้ฟื้น และจงขับผีให้ออก ท่านทั้งหลายได้รับเปล่าๆ จงให้เปล่าๆ
40010009,มัทธิว,10,9,อย่าหาเหรียญทองคำ หรือเงิน หรือทองแดงไว้ในไถ้ของท่าน
40010010,มัทธิว,10,10,หรือย่ามใช้ตามทาง หรือเสื้อคลุมสองตัว หรือรองเท้า หรือไม้เท้า เพราะว่าผู้ทำงานสมควรจะได้อาหารกิน
40010011,มัทธิว,10,11,เมื่อท่านมาถึงนครใดหรือหมู่บ้านใด จงสืบดูว่าใครเป็นคนเหมาะสมในที่นั้น แล้วจงไปอาศัยกับผู้นั้นจนกว่าจะจากไป
40010012,มัทธิว,10,12,ขณะเมื่อท่านขึ้นเรือน จงให้พรแก่ครัวเรือนนั้น
40010013,มัทธิว,10,13,ถ้าครัวเรือนนั้นสมควรรับพร ก็ให้สันติสุขของท่านอยู่กับเรือนนั้น แต่ถ้าครัวเรือนนั้นไม่สมควรรับพร ก็ให้สันติสุขนั้นกลับคืนมาสู่ท่าน
40010014,มัทธิว,10,14,ถ้าผู้ใดไม่ต้อนรับท่านทั้งหลายและไม่ฟังคำของท่าน เมื่อจะออกจากเรือนนั้นเมืองนั้น จงสะบัดผงคลีที่ติดเท้าของท่านออกเสีย
40010015,มัทธิว,10,15,เราบอกความจริงแก่ท่านว่า ในวันพิพากษานั้น โทษของเมืองโสโดมและเมืองโกโมราห์ จะเบากว่าโทษของเมืองนั้น
40010016,มัทธิว,10,16,ดูเถิด เราใช้พวกท่านไปดุจแกะอยู่ท่ามกลางสุนัขป่า เหตุฉะนั้นท่านจงฉลาดเหมือนงู และไม่มีภัยเหมือนนกเขา
40010017,มัทธิว,10,17,แต่จงระวังตัวให้ดี เพราะคนเขาจะมอบท่านทั้งหลายไว้กับศาล และจะเฆี่ยนท่านในธรรมศาลาของเขา
40010018,มัทธิว,10,18,และจะนำท่านส่งไปให้เจ้าเมืองและกษัตริย์เพราะเรา เพื่อท่านจะได้เป็นพยานแก่เขาและแก่คนต่างชาติ
40010019,มัทธิว,10,19,แต่เมื่อเขามอบท่านไว้นั้น อย่าเป็นกังวลว่าจะพูดอะไรหรืออย่างไร เพราะเมื่อถึงเวลา คำที่ท่านจะพูดนั้นจะทรงประทานแก่ท่านในเวลานั้น
40010020,มัทธิว,10,20,เพราะว่าผู้ที่พูดมิใช่ตัวท่านเอง แต่เป็นพระวิญญาณแห่งพระบิดาของท่าน ผู้ตรัสทางท่าน
40010021,มัทธิว,10,21,แม้ว่าพี่ก็จะมอบน้องให้ถึงความตาย พ่อจะมอบลูก และลูกก็จะทรยศต่อพ่อแม่ให้ถึงแก่ความตาย
40010022,มัทธิว,10,22,คนทั้งปวงจะเกลียดชังท่านเพราะนามของเรา แต่ผู้ใดที่ทนได้ถึงที่สุด ผู้นั้นจะรอด
40010023,มัทธิว,10,23,แต่เมื่อเขาข่มเหงท่านในเมืองนี้ จงหนีไปยังอีกเมืองหนึ่ง เราบอกความจริงแก่ท่านว่า ก่อนที่ท่านจะไปทั่วเมืองต่างๆทั้งหมดในอิสราเอล บุตรมนุษย์จะเสด็จมา
40010024,มัทธิว,10,24,ศิษย์ไม่ใหญ่กว่าครู และทาสไม่ใหญ่กว่านายของตน
40010025,มัทธิว,10,25,ซึ่งศิษย์จะได้รับการรับรองเสมอครูของตน และทาสเสมอนายของตนก็พออยู่แล้ว ถ้าเขาได้เรียกเจ้าบ้านว่าเบเอลเซบูล เขาจะเรียกลูกบ้านของเขามากยิ่งกว่านั้นเท่าใด
40010026,มัทธิว,10,26,เหตุฉะนั้นอย่ากลัวเขา เพราะว่าไม่มีสิ่งใดปิดบังไว้ที่จะไม่ต้องเปิดเผย หรือการลับที่จะไม่เผยให้ประจักษ์
40010027,มัทธิว,10,27,ซึ่งเรากล่าวแก่พวกท่านในที่มืด ท่านจงกล่าวในที่สว่าง และซึ่งท่านได้ยินกระซิบที่หู ท่านจงประกาศจากดาดฟ้าหลังคาบ้าน
40010028,มัทธิว,10,28,อย่ากลัวผู้ที่ฆ่าได้แต่กาย แต่ไม่มีอำนาจที่จะฆ่าจิตวิญญาณ แต่จงกลัวพระองค์ผู้ทรงฤทธิ์ที่จะให้ทั้งจิตวิญญาณทั้งกายพินาศในนรกได้
40010029,มัทธิว,10,29,นกกระจอกสองตัวเขาขายบาทหนึ่งมิใช่หรือ แต่ถ้าพระบิดาของท่านไม่ทรงเห็นชอบ นกนั้นแม้สักตัวเดียวจะตกลงถึงดินก็ไม่ได้
40010030,มัทธิว,10,30,ถึงผมของท่านทั้งหลายก็ทรงนับไว้แล้วทุกเส้น
40010031,มัทธิว,10,31,เหตุฉะนั้นอย่ากลัวเลย ท่านทั้งหลายก็มีค่ากว่านกกระจอกหลายตัว
40010032,มัทธิว,10,32,เหตุดังนั้นทุกคนที่จะรับเราต่อหน้ามนุษย์ เราจะรับผู้นั้นต่อพระพักตร์พระบิดาของเราผู้ทรงสถิตในสวรรค์ด้วย
40010033,มัทธิว,10,33,แต่ผู้ใดจะปฏิเสธเราต่อหน้ามนุษย์ เราจะปฏิเสธผู้นั้นต่อพระพักตร์พระบิดาของเราผู้ทรงสถิตในสวรรค์ด้วย
40010034,มัทธิว,10,34,อย่าคิดว่าเรามาเพื่อจะนำสันติภาพมาสู่โลก เรามิได้นำสันติภาพมาให้ แต่เรานำดาบมา
40010035,มัทธิว,10,35,เรามาเพื่อจะให้ลูกชายหมางใจกับบิดาของตน และลูกสาวหมางใจกับมารดาและลูกสะใภ้หมางใจกับแม่สามี
40010036,มัทธิว,10,36,และผู้ที่อยู่ร่วมเรือนเดียวกัน ก็จะเป็นศัตรูต่อกัน
40010037,มัทธิว,10,37,ผู้ใดที่รักบิดามารดายิ่งกว่ารักเราก็ไม่สมกับเรา และผู้ใดรักบุตรชายหญิงยิ่งกว่ารักเรา ผู้นั้นก็ไม่สมกับเรา
40010038,มัทธิว,10,38,และผู้ใดที่ไม่รับเอากางเขนของตนตามเราไป ผู้นั้นก็ไม่สมกับเรา
40010039,มัทธิว,10,39,ผู้ที่จะเอาชีวิตของตนรอดจะกลับเสียชีวิต แต่ผู้ที่สู้เสียชีวิตของตนเพราะเห็นแก่เราก็จะได้ชีวิตรอด
40010040,มัทธิว,10,40,ผู้ที่รับท่านทั้งหลายก็รับเรา และผู้ที่รับเราก็รับพระองค์ที่ทรงใช้เรามา
40010041,มัทธิว,10,41,ผู้ที่รับศาสดาพยากรณ์เพราะนามแห่งศาสดาพยากรณ์นั้น ก็จะได้บำเหน็จอย่างที่ศาสดาพยากรณ์พึงได้รับ และผู้ที่รับผู้ชอบธรรมเพราะนามแห่งผู้ชอบธรรมนั้น ก็จะได้บำเหน็จอย่างที่ผู้ชอบธรรมพึงได้รับ
40010042,มัทธิว,10,42,"และถ้าผู้ใดจะเอาน้ำเย็นสักถ้วยหนึ่งให้คนเล็กน้อยเหล่านี้คนใดคนหนึ่งดื่ม เพราะนามแห่งศิษย์ของเรา เราบอกความจริงแก่ท่านทั้งหลายว่า คนนั้นจะขาดบำเหน็จก็หามิได้"""
40011001,มัทธิว,11,1,ต่อมาเมื่อพระเยซูตรัสสั่งสาวกสิบสองคนของพระองค์เสร็จแล้ว พระองค์ได้เสด็จจากที่นั่นไปเพื่อจะสั่งสอนและประกาศในเมืองต่างๆของเขา
40011002,มัทธิว,11,2,ฝ่ายยอห์นเมื่อติดอยู่ในเรือนจำได้ยินถึงกิจการของพระคริสต์ จึงได้ใช้สาวกสองคนของท่านไป
40011003,มัทธิว,11,3,"ทูลถามพระองค์ว่า ""ท่านเป็นผู้ที่จะมานั้นหรือ หรือเราจะต้องคอยหาผู้อื่น"""
40011004,มัทธิว,11,4,"ฝ่ายพระเยซูตรัสตอบพวกเขาว่า ""จงไปแจ้งแก่ยอห์นซึ่งท่านได้ยินและเห็น"
40011005,มัทธิว,11,5,คือว่าคนตาบอดก็หายบอด คนง่อยเดินได้ คนโรคเรื้อนหายสะอาด คนหูหนวกได้ยินได้ คนตายแล้วเป็นขึ้นมา และข่าวประเสริฐก็ประกาศแก่คนอนาถา
40011006,มัทธิว,11,6,"บุคคลผู้ใดไม่สะดุดเพราะเรา ผู้นั้นเป็นสุข"""
40011007,มัทธิว,11,7,"ครั้นสาวกเหล่านั้นไปแล้ว พระเยซูเริ่มตรัสกับคนหมู่นั้นถึงยอห์นว่า ""ท่านทั้งหลายได้ออกไปในถิ่นทุรกันดารเพื่อดูอะไร ดูต้นอ้อไหวโดยถูกลมพัดหรือ"
40011008,มัทธิว,11,8,แต่ท่านทั้งหลายออกไปดูอะไร ดูคนนุ่งห่มผ้าเนื้ออ่อนนิ่มหรือ ดูเถิด คนนุ่งห่มผ้าเนื้อนิ่มก็อยู่ในราชวัง
40011009,มัทธิว,11,9,แต่ท่านทั้งหลายออกไปดูอะไร ดูศาสดาพยากรณ์หรือ แน่ทีเดียว และเราบอกท่านว่า ท่านนั้นเป็นผู้ประเสริฐยิ่งกว่าศาสดาพยากรณ์เสียอีก
40011010,มัทธิว,11,10,คือยอห์นนี่แหละที่ได้เขียนกล่าวถึงว่า `ดูเถิด เราใช้ทูตของเราไปข้างหน้าท่าน ผู้นั้นจะเตรียมทางของท่านไว้ข้างหน้าท่าน'
40011011,มัทธิว,11,11,เราบอกความจริงแก่ท่านทั้งหลายว่า ในบรรดาคนซึ่งเกิดจากผู้หญิงมานั้น ไม่มีผู้ใดใหญ่กว่ายอห์นผู้ให้รับบัพติศมา แต่ว่าผู้ที่ต่ำต้อยที่สุดในอาณาจักรแห่งสวรรค์ก็ยังใหญ่กว่ายอห์นเสียอีก
40011012,มัทธิว,11,12,และตั้งแต่สมัยยอห์นผู้ให้รับบัพติศมาถึงทุกวันนี้ อาณาจักรแห่งสวรรค์ก็เป็นสิ่งที่คนได้แสวงหาด้วยใจร้อนรน และผู้ที่ใจร้อนรนก็เป็นผู้ที่ชิงเอาได้
40011013,มัทธิว,11,13,เพราะว่าคำของศาสดาพยากรณ์ทั้งหลายและพระราชบัญญัติได้พยากรณ์มาจนถึงยอห์นนี้
40011014,มัทธิว,11,14,ถ้าท่านทั้งหลายจะยอมรับให้เป็น ก็ยอห์นนี้แหละเป็นเอลียาห์ซึ่งจะมานั้น
40011015,มัทธิว,11,15,ใครมีหูจงฟังเถิด
40011016,มัทธิว,11,16,เราจะเปรียบคนยุคนี้เหมือนกับอะไรดี เปรียบเหมือนเด็กนั่งที่กลางตลาดร้องแก่เพื่อน
40011017,มัทธิว,11,17,กล่าวว่า `พวกฉันได้เป่าปี่ให้พวกเธอ และเธอมิได้เต้นรำ พวกฉันได้พิลาปร่ำไห้แก่พวกเธอ และพวกเธอมิได้ตีอกชกหัว'
40011018,มัทธิว,11,18,ด้วยว่ายอห์นมาก็ไม่ได้กินหรือดื่ม และเขาว่า `มีผีเข้าสิงอยู่'
40011019,มัทธิว,11,19,"ฝ่ายบุตรมนุษย์มาทั้งกินและดื่ม เขาก็ว่า `ดูเถิด นี่เป็นคนกินเติบและดื่มน้ำองุ่นมาก เป็นมิตรสหายกับคนเก็บภาษีและคนบาป' แต่พระปัญญาก็ปรากฏว่าชอบธรรมแล้วโดยผลแห่งพระปัญญานั้น"""
40011020,มัทธิว,11,20,แล้วพระองค์ก็ทรงตั้งต้นติเตียนเมืองต่างๆที่พระองค์ได้ทรงกระทำการอิทธิฤทธิ์เป็นส่วนมาก เพราะเขามิได้กลับใจเสียใหม่
40011021,มัทธิว,11,21,"""วิบัติแก่เจ้า เมืองโคราซิน วิบัติแก่เจ้า เมืองเบธไซอิดา เพราะถ้าการอิทธิฤทธิ์ซึ่งได้กระทำท่ามกลางเจ้าได้กระทำในเมืองไทระและเมืองไซดอน คนในเมืองทั้งสองจะได้นุ่งห่มผ้ากระสอบ นั่งบนขี้เถ้า กลับใจเสียใหม่นานมาแล้ว"
40011022,มัทธิว,11,22,แต่เราบอกเจ้าว่า ในวันพิพากษา โทษเมืองไทระและเมืองไซดอนจะเบากว่าโทษของเจ้า
40011023,มัทธิว,11,23,และฝ่ายเจ้า เมืองคาเปอรนาอุม ซึ่งถูกยกขึ้นเทียมฟ้าแล้ว เจ้าจะต้องลงไปถึงนรกต่างหาก ด้วยว่าการอิทธิฤทธิ์ซึ่งได้กระทำในท่ามกลางเจ้านั้น ถ้าได้กระทำในเมืองโสโดม เมืองนั้นจะได้ตั้งอยู่จนทุกวันนี้
40011024,มัทธิว,11,24,"แต่เราบอกเจ้าว่า ในวันพิพากษา โทษเมืองโสโดมจะเบากว่าโทษของเจ้า"""
40011025,มัทธิว,11,25,"ขณะนั้นพระเยซูทูลตอบว่า ""ข้าแต่พระบิดา ผู้เป็นเจ้าแห่งฟ้าสวรรค์และแผ่นดิน ข้าพระองค์ขอขอบพระคุณพระองค์ ที่พระองค์ได้ทรงปิดบังสิ่งเหล่านี้ไว้จากผู้มีปัญญาและผู้ฉลาด และได้สำแดงให้ผู้น้อยรู้"
40011026,มัทธิว,11,26,ข้าแต่พระบิดา ที่เป็นอย่างนั้นก็เพราะเป็นที่ชอบพระทัยในสายพระเนตรของพระองค์
40011027,มัทธิว,11,27,พระบิดาของเราได้ทรงมอบสิ่งสารพัดให้แก่เรา และไม่มีใครรู้จักพระบุตรนอกจากพระบิดา และไม่มีใครรู้จักพระบิดานอกจากพระบุตรและผู้ที่พระบุตรประสงค์จะสำแดงให้รู้
40011028,มัทธิว,11,28,บรรดาผู้ทำงานเหน็ดเหนื่อยและแบกภาระหนัก จงมาหาเรา และเราจะให้ท่านทั้งหลายหายเหนื่อยเป็นสุข
40011029,มัทธิว,11,29,จงเอาแอกของเราแบกไว้ แล้วเรียนจากเรา เพราะว่าเรามีใจอ่อนสุภาพและถ่อมลง และท่านทั้งหลายจะพบที่สงบสุขในใจของตน
40011030,มัทธิว,11,30,"ด้วยว่าแอกของเราก็แบกง่าย และภาระของเราก็เบา"""
40012001,มัทธิว,12,1,ในคราวนั้นพระเยซูเสด็จไปในนาในวันสะบาโต และพวกสาวกของพระองค์หิวจึงเริ่มเด็ดรวงข้าวมากิน
40012002,มัทธิว,12,2,"แต่เมื่อพวกฟาริสีเห็นเข้า เขาจึงทูลพระองค์ว่า ""ดูเถิด สาวกของท่านทำการซึ่งพระราชบัญญัติห้ามไว้ในวันสะบาโต"""
40012003,มัทธิว,12,3,"พระองค์จึงตรัสกับเขาว่า ""พวกท่านยังไม่ได้อ่านหรือ ซึ่งดาวิดได้กระทำเมื่อท่านและพรรคพวกหิว"
40012004,มัทธิว,12,4,ท่านได้เข้าไปในพระนิเวศของพระเจ้า รับประทานขนมปังหน้าพระพักตร์ ซึ่งพระราชบัญญัติห้ามไว้ไม่ให้ท่านและพรรคพวกรับประทาน ควรแต่ปุโรหิตพวกเดียว
40012005,มัทธิว,12,5,ท่านทั้งหลายไม่ได้อ่านในพระราชบัญญัติหรือ ที่ว่า ในวันสะบาโตพวกปุโรหิตในพระวิหารย่อมดูหมิ่นวันสะบาโตแต่ไม่มีความผิด
40012006,มัทธิว,12,6,แต่เราบอกท่านทั้งหลายว่า ที่นี่มีผู้หนึ่งเป็นใหญ่กว่าพระวิหารอีก
40012007,มัทธิว,12,7,ถ้าท่านทั้งหลายได้เข้าใจความหมายของข้อที่ว่า `เราประสงค์ความเมตตา ไม่ประสงค์เครื่องสัตวบูชา' ท่านก็คงจะไม่กล่าวโทษคนที่ไม่มีความผิด
40012008,มัทธิว,12,8,"เพราะว่าบุตรมนุษย์เป็นเจ้าเป็นใหญ่เหนือวันสะบาโต"""
40012009,มัทธิว,12,9,แล้วเมื่อพระองค์ได้เสด็จไปจากที่นั่น พระองค์ก็เข้าไปในธรรมศาลาของเขา
40012010,มัทธิว,12,10,"ดูเถิด มีชายคนหนึ่งมือข้างหนึ่งลีบ คนทั้งหลายถามพระองค์ว่า ""การรักษาโรคในวันสะบาโตนั้นพระราชบัญญัติห้ามไว้หรือไม่"" เพื่อเขาจะหาเหตุฟ้องพระองค์ได้"
40012011,มัทธิว,12,11,"พระองค์จึงตรัสกับเขาว่า ""ถ้าผู้ใดในพวกท่านมีแกะตัวเดียวและแกะตัวนั้นตกบ่อในวันสะบาโต ผู้นั้นจะไม่ฉุดลากแกะตัวนั้นขึ้นหรือ"
40012012,มัทธิว,12,12,"มนุษย์คนหนึ่งย่อมประเสริฐยิ่งกว่าแกะมากเท่าใด เหตุฉะนั้นจึงถูกต้องตามพระราชบัญญัติให้ทำการดีได้ในวันสะบาโต"""
40012013,มัทธิว,12,13,"แล้วพระองค์ตรัสกับคนมือลีบนั้นว่า ""จงเหยียดมือออกเถิด"" เขาก็เหยียดออก และมือนั้นก็หายเป็นปกติเหมือนมืออีกข้างหนึ่ง"
40012014,มัทธิว,12,14,ฝ่ายพวกฟาริสีก็ออกไปปรึกษากันถึงพระองค์ว่า จะทำอย่างไรจึงจะฆ่าพระองค์ได้
40012015,มัทธิว,12,15,แต่เมื่อพระเยซูทรงทราบ พระองค์จึงได้เสด็จออกไปจากที่นั่น และคนเป็นอันมากก็ตามพระองค์ไป พระองค์ก็ทรงรักษาเขาให้หายโรคสิ้นทุกคน
40012016,มัทธิว,12,16,แล้วพระองค์ทรงกำชับห้ามเขามิให้แพร่งพรายว่าพระองค์คือผู้ใด
40012017,มัทธิว,12,17,ทั้งนี้เพื่อคำที่ได้กล่าวไว้แล้วโดยอิสยาห์ศาสดาพยากรณ์จะสำเร็จ ซึ่งว่า
40012018,มัทธิว,12,18,`ดูเถิด ผู้รับใช้ของเราซึ่งเราได้เลือกสรรไว้ ที่รักของเรา ผู้ซึ่งจิตใจเราโปรดปราน เราจะเอาวิญญาณของเราสวมท่านไว้ ท่านจะประกาศการพิพากษาแก่พวกต่างชาติ
40012019,มัทธิว,12,19,ท่านจะไม่ทะเลาะวิวาท และไม่ร้องเสียงดัง ไม่มีใครได้ยินเสียงของท่านตามถนน
40012020,มัทธิว,12,20,ไม้อ้อช้ำแล้วท่านจะไม่หัก ไส้ตะเกียงเป็นควันแล้วท่านจะไม่ดับ กว่าท่านจะทำให้การพิพากษามีชัยชนะ
40012021,มัทธิว,12,21,และพวกต่างชาติจะวางใจในนามของท่าน'
40012022,มัทธิว,12,22,ขณะนั้นเขาพาคนหนึ่งมีผีเข้าสิงอยู่ ทั้งตาบอดและเป็นใบ้มาหาพระองค์ พระองค์ทรงรักษาให้หาย คนตาบอดและใบ้นั้นจึงพูดจึงเห็นได้
40012023,มัทธิว,12,23,"และคนทั้งปวงก็อัศจรรย์ใจถามกันว่า ""คนนี้เป็นบุตรของดาวิดมิใช่หรือ"""
40012024,มัทธิว,12,24,"แต่พวกฟาริสีเมื่อได้ยินดังนั้นก็พูดกันว่า ""ผู้นี้ขับผีออกได้ก็เพราะใช้อำนาจเบเอลเซบูลผู้เป็นนายผีนั้น"""
40012025,มัทธิว,12,25,"ฝ่ายพระเยซูทรงทราบความคิดของเขา จึงตรัสกับเขาว่า ""ราชอาณาจักรใดๆซึ่งแตกแยกกันเองก็จะรกร้างไป เมืองใดๆหรือครัวเรือนใดๆซึ่งแตกแยกกันเองจะตั้งอยู่ไม่ได้"
40012026,มัทธิว,12,26,และถ้าซาตานขับซาตานออก มันก็แตกแยกกันในตัวมันเอง แล้วอาณาจักรของมันจะตั้งอยู่อย่างไรได้
40012027,มัทธิว,12,27,และถ้าเราขับผีออกโดยเบเอลเซบูล พวกพ้องของท่านทั้งหลายขับมันออกโดยอำนาจของใครเล่า เหตุฉะนั้นพวกพ้องของท่านเองจะเป็นผู้ตัดสินกล่าวโทษพวกท่าน
40012028,มัทธิว,12,28,แต่ถ้าเราขับผีออกด้วยพระวิญญาณของพระเจ้า อาณาจักรของพระเจ้าก็มาถึงท่านแล้ว
40012029,มัทธิว,12,29,หรือใครจะเข้าไปในเรือนของคนที่มีกำลังมากและปล้นเอาทรัพย์ของเขาอย่างไรได้ เว้นแต่จะจับคนที่มีกำลังมากนั้นมัดไว้เสียก่อน แล้วจึงจะปล้นทรัพย์ในเรือนนั้นได้
40012030,มัทธิว,12,30,ผู้ใดไม่อยู่ฝ่ายเราก็เป็นปฏิปักษ์ต่อเรา และผู้ใดไม่รวบรวมไว้กับเราก็เป็นผู้กระทำให้กระจัดกระจายไป
40012031,มัทธิว,12,31,เพราะฉะนั้น เราบอกท่านทั้งหลายว่า ความผิดบาปและคำหมิ่นประมาททุกอย่างจะโปรดยกให้มนุษย์ได้ เว้นแต่คำหมิ่นประมาทพระวิญญาณบริสุทธิ์จะทรงโปรดยกให้มนุษย์ไม่ได้
40012032,มัทธิว,12,32,ผู้ใดจะกล่าวร้ายบุตรมนุษย์จะโปรดยกให้ผู้นั้นได้ แต่ผู้ใดจะกล่าวร้ายพระวิญญาณบริสุทธิ์ จะทรงโปรดยกให้ผู้นั้นไม่ได้ทั้งโลกนี้โลกหน้า
40012033,มัทธิว,12,33,พึงกล่าวอย่างใดอย่างหนึ่งว่าต้นดีผลก็ดี หรือต้นเลวผลก็เลวด้วย เพราะเราจะรู้จักต้นไม้ด้วยผลของมัน
40012034,มัทธิว,12,34,โอ ชาติงูร้าย เจ้าเป็นคนชั่วแล้วจะพูดความดีได้อย่างไร ด้วยว่าปากนั้นพูดจากสิ่งที่มาจากใจ
40012035,มัทธิว,12,35,คนดีก็เอาของดีมาจากคลังดีแห่งใจนั้น คนชั่วก็เอาของชั่วมาจากคลังชั่ว
40012036,มัทธิว,12,36,ฝ่ายเราบอกเจ้าทั้งหลายว่า คำที่ไม่เป็นสาระทุกคำซึ่งมนุษย์พูดนั้น มนุษย์จะต้องให้การในถ้อยคำเหล่านั้นในวันพิพากษา
40012037,มัทธิว,12,37,"เหตุว่าที่เจ้าจะพ้นโทษได้ หรือจะต้องถูกปรับโทษนั้น ก็เพราะวาจาของเจ้า"""
40012038,มัทธิว,12,38,"คราวนั้นมีบางคนในพวกธรรมาจารย์และพวกฟาริสีมาทูลว่า ""อาจารย์เจ้าข้า พวกข้าพเจ้าอยากจะเห็นหมายสำคัญจากท่าน"""
40012039,มัทธิว,12,39,"พระองค์จึงตรัสตอบเขาว่า ""คนชาติชั่วและเล่นชู้แสวงหาหมายสำคัญ และจะไม่ทรงโปรดให้หมายสำคัญแก่เขา เว้นไว้แต่หมายสำคัญของโยนาห์ศาสดาพยากรณ์"
40012040,มัทธิว,12,40,ด้วยว่า `โยนาห์ได้อยู่ในท้องปลาวาฬสามวันสามคืน' ฉันใด บุตรมนุษย์จะอยู่ในท้องแผ่นดินสามวันสามคืนฉันนั้น
40012041,มัทธิว,12,41,ชนชาวนีนะเวห์จะลุกขึ้นในวันพิพากษาพร้อมกับคนยุคนี้ และจะกล่าวโทษเขา ด้วยว่าชาวนีนะเวห์ได้กลับใจเสียใหม่เพราะคำประกาศของโยนาห์ และดูเถิด ผู้เป็นใหญ่กว่าโยนาห์อยู่ที่นี่
